link_#,course_id,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
0,BUAD 280,,"BUAD 286, BUAD 305, BUAD 285, BUAD 250",,,,"csr00919, csr01036, csr01893, csr00310, csr00881, csr01870, csr00964, csr02533"
1,BUAD 281,,"BUAD 286, BUAD 305, BUAD 285",,,BUAD 280,"csr00919, csr01036, csr01886, csr01887"
2,BUAD 302,,BUAD 302,,,,
3,BUAD 306,,BUAD 215,"ECON 352, BUAD 310",,"ECON 351, ACCT 410, BUAD 286, BUAD 305, BUAD 285, BUAD 280","csr01840, csr00964, csr02533, csr01038"
4,BUAD 307,,MKT 385,,,,"udc00198, csr01049, csr01825, csr01831, csr01891, csr01035, csr01834"
5,BUAD 310,,ITP 251,,,,"csr01601, csr00706, csr00837, csr00693, csr00929, csr01589, csr00692, csr00928, csr01588, udc00167"
6,BUAD 311,,BUAD 311,,,,"csr01888, csr01039"
7,BUAD 497,,,BUAD 311,,"BUAD 304, BUAD 307, BUAD 286, BUAD 306, BUAD 305, BUAD 285, BUAD 215, BUAD 302, ACCT 410, BUAD 281","csr00705, csr02137, csr02595, csr02209, csr02092, csr00702, csr00703"
8,ECON 351,,ECON 251,ECON 352,,"MATH 118, MATH 226, MATH 125, MATH 126",csr00702
9,ECON 352,,ECON 252,,ECON 351,,csr00703
10,MATH 118,,,,,"MATH 108, MATH 117",
11,MATH 125,,,,,MATH 108,"csr01552, csr01816, csr00652, csr01709, csr00476"
12,ACCT 370,,ACCT 370,,,"BUAD 286, BUAD 305, BUAD 285, BUAD 281",
13,ACCT 371,,ACCT 371,,,"BUAD 286, BUAD 305, BUAD 285, BUAD 281","csr01036, csr00919, csr00310, csr00881, csr01870, csr01893, csr00964, csr02533"
14,ACCT 372,,,,,"BUAD 286, BUAD 305, BUAD 285, BUAD 281",
15,ACCT 373,,,,,"ACCT 371, ACCT 370",
16,ACCT 374,,,,,"BUAD 286, BUAD 305, BUAD 285, BUAD 281",
17,ACCT 377,,,,,ACCT 370,
18,ACCT 430,,,,,"ACCT 377, ACCT 374, ACCT 373, ACCT 372","csr01893, csr00310, csr00881, csr01870"
19,ACCT 470,,ACCT 470,ACCT 377,,ACCT 370,
20,ACCT 473,,,,,ACCT 373,
21,ACCT 474,,ACCT 451,,,ACCT 374,
22,ACCT 416,,,,,"BUAD 306, ACCT 415, BUAD 215, ACCT 370","csr01862, csr01036, csr00919"
23,ACCT 462,,,,,"ACCT 415, ACCT 370",
24,ACCT 463,,,,,"ACCT 373, ACCT 370",
25,ACCT 471,,,,,ACCT 371,"csr00911, csr01893, csr00310, csr00881, csr01870, csr00910, csr00919"
26,ACCT 472,,,,,ACCT 372,csr01886
27,ACCT 475,,,,,ACCT 371,udc00098
28,ACCT 476,,,,,"BUAD 286, BUAD 305, BUAD 285, ACCT 410, BUAD 281","khn00004, khn00014, khn00024, khn00034, khn00044, khn00054, khn00064, khn00074"
29,ACCT 477,,,,,ACCT 377,
30,ACCT 478,,,,,ACCT 371,"csr00310, csr00881, csr01870, csr01893, csr00956, csr01036, csr00919"
31,ACCT 479,,ACCT 454,,,ACCT 478,"csr01893, csr00310, csr00881, csr01870"
32,THTR 105,,,,,"THTR 101, THTR 252, THTR 152",
33,THTR 115,,THTR 115,"THTR 120, THTR 140",,,
34,THTR 120,,,"THTR 115, THTR 140",,,
35,THTR 140,,,"THTR 120, THTR 115",,,
36,THTR 215,,,"THTR 240, THTR 220",,THTR 115,
37,THTR 220,,,,,THTR 120,
38,THTR 240,,,"THTR 220, THTR 215",,THTR 140,
39,THTR 250,,,,,"THTR 252, THTR 220","khn00951, khn00971, khn00961, khn00981, khn00991, khn01001, khn01011, khn01021, khn00956, khn00966"
40,THTR 320,,,"THTR 315, THTR 340",,,
41,THTR 410,,,,,"THTR 101, THTR 252, THTR 152",
42,THTR 411,,,,,"THTR 101, THTR 252, THTR 152",
43,THTR 415,,THTR 415,,,THTR 315,
44,THTR 420,,,,,THTR 320,
45,THTR 427,,,,,"THTR 101, THTR 252",
46,THTR 440,,THTR 440,,,THTR 340,
47,THTR 464,,,,,"THTR 320, THTR 252",
48,THTR 480,,THTR 480,,,,
49,THTR 497,,,,,THTR 397,
50,THTR 225,,,,THTR 125,,
51,THTR 310,,,,"THTR 225, THTR 125",,
52,THTR 312,,,,,THTR 225,
53,THTR 405,,THTR 393,,,,
54,THTR 456,,,,,THTR 225,
55,THTR 460,,,,,THTR 225,
56,THTR 301,,THTR 213,,"THTR 201, THTR 125",,
57,THTR 302,,THTR 214,,"THTR 201, THTR 211, THTR 210",,
58,THTR 313,,,,"THTR 201, THTR 211, THTR 210",,
59,THTR 314,,,,"THTR 201, THTR 211, THTR 210",,
60,THTR 400,,,,,THTR 225,
61,THTR 403,,THTR 303,,,,
62,WRIT 150,,"WRIT 130, WRIT 140",,,,
63,WRIT 340,,,,,"WRIT 130, WRIT 150","csr01505, csr00792, csr02003, csr02003"
64,MATH 126,,,,,MATH 125,csr01709
65,MATH 127,,MATH 126,,,,
66,MATH 129,,"MATH 127, MATH 126",,,MATH 125,
67,MATH 226,,,,,"MATH 127, MATH 126",
68,MATH 227,,MATH 226,,,"MATH 225, MATH 127",
69,MATH 229,,"MATH 226, MATH 227",,,"MATH 129, MATH 127, MATH 126",
70,MATH 245,,,,,"MATH 226, MATH 227",
71,PHYS 151,,,,,"MATH 226, MATH 125, MATH 126",
72,PHYS 161,,,MATH 226,,MATH 126,
73,PHYS 152,,,MATH 226,,"PHYS 151, MATH 126",
74,PHYS 162,,,,,"MATH 226, PHYS 161",
75,PHYS 153,,,,,PHYS 152,udc00162
76,PHYS 163,,,,,PHYS 162,udc00162
77,CHEM 105,,CHEM 115,,,CHEM 050,
78,CHEM 115,,CHEM 105,,,,
79,AME 201,ACAD 203,,,,"AME 101, PHYS 151, MATH 125",
80,AME 204,ACAD 204,,,,"AME 201, CE 205",
81,AME 231,ACAD 231,,AME 204,,,
82,AME 261,,,,ITP 168,,
83,AME 301,ACAD 301,,,,"PHYS 151, AME 201, CE 205",
84,AME 302,,,,,"CE 309, MATH 245, AME 309, AME 301, CE 325",
85,AME 308,,,AME 301,,AME 204,
86,AME 309,,,,,"AME 310, MATH 245, AME 201",
87,AME 310,,,,,"MATH 226, MATH 227, PHYS 151, MATH 229",
88,AME 341,,,,,"PHYS 152, MATH 129, PHYS 162, MATH 127, MATH 126",
89,AME 436,,,,,"AME 310, CE 309, AME 309",
90,AME 441,,,,,AME 341,
91,AME 451,,EE 482,,,"AME 302, MATH 245",
92,ASTE 280,,,,,"MATH 226, PHYS 152",
93,ITP 168,,,,"MATH 118, MATH 125",,
94,AME 459,,,,AME 309,,
95,AME 460,,,,,AME 309,
96,AME 443,,AME 442,,,"AME 451, EE 482, AME 420",
97,AME 457,,,,,"AME 310, CE 309, AME 309",
98,AME 485,,AME 353,,,"MASC 310, AME 231, AME 204",
99,CE 358,,,,,CE 225,"csr00049, csr00090, csr00158, csr00217, csr00547, csr01526, csr01790, csr02181, csr02422"
100,AME 403,,,,,AME 204,
101,AME 420,,,,,MATH 245,
102,AME 408,,,,,"AME 308, CE 225, AME 204",
103,CE 458,,,,,"CE 108, CE 358",
104,AME 453,,,,,MATH 245,
105,AME 430,,,,,"AME 312, AME 331",
106,ASTE 421,,,,,ASTE 330,
107,AME 312,,,,,AME 310,
108,PHYS 316,,,,,"PHYS 152, MATH 226, PHYS 161",
109,AME 331,,,"CE 309, AME 309",,AME 310,
110,AMST 301,,,,"ENGL 263, HIST 100",,
111,HIST 380,,HIST 255,,,,
112,AMST 448,,ENGL 448,,,,
113,ENGL 343,SWMS 343,ENGL 476,,,,
114,AHIS 363,SWMS 363,,,AHIS 121,,
115,ENGL 371,,ENGL 471,,,,
116,ENGL 381,,ENGL 481,,,,
117,ANTH 240,AMST 240,,,ANTH 263,,
118,COMM 371,,JOUR 371,,,,
119,COMM 413,,COMM 370,,,,
120,COMM 415,,,,COMM 311,,
121,COMM 458,,,,,COMM 206,csr01787
122,CRIT 371,,PAS 371,,,,
123,DANC 302,,DANC 402,,,,
124,ENGL 341,SWMS 341,ENGL 469,,,,
125,ENGL 342,SWMS 342,ENGL 470,,,,
126,LING 375,,,,,LING 210,
127,SOCI 342,,,,,SOCI 200,
128,AMST 498,,,,,AMST 200,
129,HIST 355,,HIST 250,,,,
130,MUSC 320,,MUSC 420,,,,
131,AMST 274,,AMST 374,,,,
132,AMST 330,,GEOG 350,,,,
133,AMST 389,,,,,AMST 200,
134,ANTH 445,,,,"AMST 385, ANTH 263",,
135,HIST 265,SWMS 265,,,,,
136,PSYC 462,,,,PSYC 100,,csr02573
137,SOCI 432,AMST 432,,,,"SOCI 200, SOCI 314, SOCI 370, SOCI 313, SOCI 325",
138,AMST 378,,HIST 378,,,,
139,AMST 150,,AMST 377,,,,
140,AMST 373,,HIST 472,,,,
141,HIST 100,,HIST 200,,,,
142,ENGL 442,,,ENGL 263,,,
143,REL 483,,,,REL 301,,
144,AMST 340,,GEOG 340,,,,
145,SOCI 100,,"GEOG 100, AMST 100",,,,
146,SOCI 355,,,,,SOCI 200,
147,ART 110,DES 110,FADW 101,,,,
148,CTAN 102,,,,,CTAN 101,
149,CTAN 201,,,,,CTAN 102,
150,CTAN 202,,,,,CTAN 201,
