link_#,course_id,course_name,crosslist,duplicate,corequisite,preparation,prerequisite,similar_mooc
0,BUAD 280,BUAD 280 Introduction to Financial Accounting,,"BUAD 286, BUAD 305, BUAD 285, BUAD 250",,,,"csr00919, csr01036, csr01893, csr00310, csr00881, csr01870, csr00964, csr02533"
1,BUAD 281,BUAD 281 Introduction to Managerial Accounting,,"BUAD 286, BUAD 305, BUAD 285",,,BUAD 280,"csr00919, csr01036, csr01886, csr01887"
2,BUAD 302,BUAD 302T Communication Strategy in Accounting,,BUAD 302,,,,
3,BUAD 306,BUAD 306 Business Finance,,BUAD 215,"ECON 352, BUAD 310",,"ECON 351, ACCT 410, BUAD 286, BUAD 305, BUAD 285, BUAD 280","csr01840, csr00964, csr02533, csr01038"
4,BUAD 307,BUAD 307 Marketing Fundamentals,,MKT 385,,,,"udc00198, csr01049, csr01825, csr01831, csr01891, csr01035, csr01834"
5,BUAD 310,BUAD 310g Applied Business Statistics,,ITP 251,,,,"csr01601, csr00706, csr00837, csr00693, csr00929, csr01589, csr00692, csr00928, csr01588, udc00167"
6,BUAD 311,BUAD 311T Operations Management for Accounting Majors,,BUAD 311,,,,"csr01888, csr01039"
7,BUAD 497,BUAD 497 Strategic Management,,,BUAD 311,,"BUAD 304, BUAD 307, BUAD 286, BUAD 306, BUAD 305, BUAD 285, BUAD 215, BUAD 302, ACCT 410, BUAD 281","csr00705, csr02137, csr02595, csr02209, csr02092, csr00702, csr00703"
8,ECON 351,ECON 351x Microeconomics for Business,,ECON 251,ECON 352,,"MATH 118, MATH 226, MATH 125, MATH 126",csr00702
9,ECON 352,ECON 352x Macroeconomics for Business,,ECON 252,,ECON 351,,csr00703
10,MATH 118,MATH 118gx Fundamental Principles of Calculus,,,,,"MATH 108, MATH 117",
11,MATH 125,MATH 125g Calculus I,,,,,MATH 108,"csr01552, csr01816, csr00652, csr01709, csr00476"
12,ACCT 370,ACCT 370 External Financial Reporting Issues,,ACCT 370,,,"BUAD 286, BUAD 305, BUAD 285, BUAD 281",
13,ACCT 371,ACCT 371 Introduction to Accounting Systems,,ACCT 371,,,"BUAD 286, BUAD 305, BUAD 285, BUAD 281","csr01036, csr00919, csr00310, csr00881, csr01870, csr01893, csr00964, csr02533"
14,ACCT 372,ACCT 372 Internal Reporting Issues,,,,,"BUAD 286, BUAD 305, BUAD 285, BUAD 281",
15,ACCT 373,ACCT 373 Introduction to Auditing and Assurance Services,,,,,"ACCT 371, ACCT 370",
16,ACCT 374,ACCT 374 Introduction to Tax Issues,,,,,"BUAD 286, BUAD 305, BUAD 285, BUAD 281",
17,ACCT 377,ACCT 377 Valuation for Financial Statement Purposes,,,,,ACCT 370,
18,ACCT 430,ACCT 430 Accounting Ethics,,,,,"ACCT 377, ACCT 374, ACCT 373, ACCT 372","csr01893, csr00310, csr00881, csr01870"
19,ACCT 470,ACCT 470 Advanced External Financial Reporting Issues,,ACCT 470,ACCT 377,,ACCT 370,
20,ACCT 473,ACCT 473 Financial Statement Auditing,,,,,ACCT 373,
21,ACCT 474,ACCT 474 Tax Issues for Business,,ACCT 451,,,ACCT 374,
22,ACCT 416,ACCT 416 Financial Reporting and Analysis,,,,,"BUAD 306, ACCT 415, BUAD 215, ACCT 370","csr01862, csr01036, csr00919"
23,ACCT 462,ACCT 462 Detecting Fraudulent Financial Reporting,,,,,"ACCT 415, ACCT 370",
24,ACCT 463,ACCT 463 Internal Audit,,,,,"ACCT 373, ACCT 370",
25,ACCT 471,ACCT 471 Accounting Information Systems,,,,,ACCT 371,"csr00911, csr01893, csr00310, csr00881, csr01870, csr00910, csr00919"
26,ACCT 472,ACCT 472 Managerial Accounting,,,,,ACCT 372,csr01886
27,ACCT 475,ACCT 475 Systems Security and Audit,,,,,ACCT 371,udc00098
28,ACCT 476,ACCT 476 Performance Measurement Issues,,,,,"BUAD 286, BUAD 305, BUAD 285, ACCT 410, BUAD 281","khn00004, khn00014, khn00024, khn00034, khn00044, khn00054, khn00064, khn00074"
29,ACCT 477,ACCT 477 Intermediate Fair Value Issues in Accounting,,,,,ACCT 377,
30,ACCT 478,ACCT 478 Accounting Systems Design,,,,,ACCT 371,"csr00310, csr00881, csr01870, csr01893, csr00956, csr01036, csr00919"
31,ACCT 479,ACCT 479 Accounting Systems Development,,ACCT 454,,,ACCT 478,"csr01893, csr00310, csr00881, csr01870"
32,THTR 105,THTR 105 Introduction to Screen Acting,,,,,"THTR 101, THTR 252, THTR 152",
33,THTR 115,THTR 115a Movement I,,THTR 115,"THTR 120, THTR 140",,,
34,THTR 120,THTR 120aL Acting I,,,"THTR 115, THTR 140",,,
35,THTR 140,THTR 140a Voice I,,,"THTR 120, THTR 115",,,
36,THTR 215,Movement II,,,"THTR 240, THTR 220",,THTR 115,
37,THTR 220,Intermediate Acting I,,,,,THTR 120,
38,THTR 240,Voice II,,,"THTR 220, THTR 215",,THTR 140,
39,THTR 250,THTR 250 Camera and Improvisation,,,,,"THTR 252, THTR 220","khn00951, khn00971, khn00961, khn00981, khn00991, khn01001, khn01011, khn01021, khn00956, khn00966"
40,THTR 320,Intermediate Acting II,,,"THTR 315, THTR 340",,,
41,THTR 410,THTR 410 The Digital Actor,,,,,"THTR 101, THTR 252, THTR 152",
42,THTR 411,THTR 411 The Business of Acting,,,,,"THTR 101, THTR 252, THTR 152",
43,THTR 415,THTR 415 Physical Theatre II,,THTR 415,,,THTR 315,
44,THTR 420,THTR 420a Senior Project,,,,,THTR 320,
45,THTR 427,"THTR 427 Audition Technique for Film , Television and New Media",,,,,"THTR 101, THTR 252",
46,THTR 440,THTR 440 Advanced Voice,,THTR 440,,,THTR 340,
47,THTR 464,THTR 464 An Actor's Reel,,,,,"THTR 320, THTR 252",
