special_id,name,provenance,courseList
spc00001,Data Science,Johns Hopkins University,"csr00001, csr00002, csr00003, csr00004, csr00005, csr00006, csr00007, csr00008, csr00009, csr00010"
spc00002,Data Science Math Skills,Duke University,"csr00011, csr00012, csr00013, csr00014, csr00015"
spc00003,Data Analysis and Presentation Skills: the PwC Approach,PwC,"csr00016, csr00017, csr00018, csr00019, csr00020"
spc00004,Data Visualization with Tableau,"University of California, Davis","csr00021, csr00022, csr00023, csr00024, csr00025, csr00026"
spc00005,A Crash Course in Data Science,Johns Hopkins University,"csr00027, csr00028, csr00029, csr00030, csr00031, csr00032"
spc00006,Data Mining ,University of Illinois at Urbana-Champaign,"csr00033, csr00034, csr00035, csr00036, csr00037"
spc00007,Big Data,"University of California, San Diego","csr00038, csr00039, csr00040, csr00041, csr00042"
spc00008,Applied Data Science with Python,University of Michigan,"csr00043, csr00044, csr00045, csr00046, csr00047"
spc00009,Data Analysis and Interpretation,Wesleyan University,"csr00048, csr00049, csr00050, csr00051, csr00052, csr00053"
spc00010,Big Data for Data Engineers,Yandex,"csr00054, csr00055, csr00056, csr00057, csr00058"
spc00011,Data Structures and Algorithms,"University of California, San Diego, Higher School of Economics","csr00059, csr00060, csr00061, csr00062, csr00063, csr00064, csr00065, csr00066"
spc00012,Executive Data Science,Johns Hopkins University,"csr00067, csr00068, csr00069, csr00070, csr00071"
spc00013,Genomic Data Science,Johns Hopkins University,"csr00072, csr00073, csr00074, csr00075, csr00076, csr00077, csr00078"
spc00014,Data Warehousing for Business Intelligence,University of Colorado System,"csr00079, csr00080, csr00081, csr00082"
spc00015,Survey Data Collection and Analytics ,"University of Michigan, University of Maryland, College Park","csr00083, csr00084, csr00085, csr00086, csr00087"
spc00016,Master of Computer Science in Data Science (MCS-DS),,"csr00153, csr00154, csr00155, csr00156"
spc00017,"Algorithms, Part I",Princeton University,"csr00157, csr00158, csr00159, csr00160, csr00161, csr00162"
spc00018,"Algorithms, Part II",Princeton University,"csr00163, csr00164, csr00165, csr00166, csr00167"
