"id","course_name","course_url","description","image_url","provenance","subject"
"edx00000","The Basics of Transport Phenomena","https://www.edx.org/course/basics-transport-phenomena-delftx-tp101x-2","Learn the basic framework to work on a broad spectrum of engineering problems concerning transfer of heat, mass and momentum. Learn through examples of everyday processes at home, in the lab and in industry.","https://www.edx.org/sites/default/files/course/image/featured-card/basics_of_transport-318x210.jpg","Delft University of Technology (TU Delft)","Biology & Life Sciences;Engineering;Physics"
"edx00001","Business Communications","https://www.edx.org/course/business-communications-ubcx-bus2x","Learn how to communicate effectively in a business setting: understand diverse audiences and build sound arguments.","https://www.edx.org/sites/default/files/course/image/featured-card/business-communication-illustration_318x210.jpg","University of British Columbia","Communication;Business & Management"
"edx00002","Solar Energy: Photovoltaic (PV) Energy Conversion","https://www.edx.org/course/solar-energy-photovoltaic-pv-energy-delftx-pv1x-0","Understand how solar cells generate electricity. Learn about semiconductor physics and optics required to design and manufacture solar cells.","https://www.edx.org/sites/default/files/course/image/featured-card/ewi_pv1x_318x210.jpg","Delft University of Technology (TU Delft)","Engineering;Physics;Electronics"
"edx00003","Introduction to Bioconductor: Annotation and Analysis of Genomes and Genomic Assays","https://www.edx.org/course/introduction-bioconductor-annotation-harvardx-ph525-5x-0","The structure, annotation, normalization, and interpretation of genome scale assays.","https://www.edx.org/sites/default/files/course/image/featured-card/statistics-and-r-for-the-life-sciences_378x225_4.jpg","Harvard University","Biology & Life Sciences;Science;Data Analysis & Statistics"
"edx00004","Biobased Processes and Implementation","https://www.edx.org/course/biobased-processes-implementation-wageningenx-bb02x-0","Discover how to use microorganisms and catalysts to create biobased products, and how to market and sell those products in a profitable business model.","https://www.edx.org/sites/default/files/course/image/featured-card/bb02x_318x210.jpg","Wageningen University & Research","Environmental Studies;Business & Management;Engineering;Chemistry"
"edx00005","Global Business in Practice","https://www.edx.org/course/global-business-practice-georgetownx-gbex-650-01x-0","Get an overall view of the increasingly complex challenges of global business from the insights, perspectives and experience of Georgetown faculty and senior executives currently working in multinational companies.","https://www.edx.org/sites/default/files/course/image/featured-card/gbex_-_course_image_318x210.jpg","Georgetown University","Business & Management;Social Sciences"
"edx00006","First Nights - Messiah","https://www.edx.org/course/first-nights-messiah-harvardx-mus24-2x","Discover Handel’s Messiah in this installment of First Nights, which will explore five masterpieces of western music.","https://www.edx.org/sites/default/files/course/image/featured-card/mus24.2x-course_image-378x225.jpg","Harvard University","Humanities;Art & Culture;History;Music"
"edx00007","Capital Markets and Key Participants","https://www.edx.org/course/capital-markets-key-participants-new-york-institute-finance-cm1-x","Learn about global financial markets, including the structure and types of capital markets, and how to identify key participants and their impact on the market.",,"NYIF","Economics & Finance"
"edx00008","Introduction to Money Markets","https://www.edx.org/course/introduction-money-markets-new-york-institute-finance-cm2-x","Learn about the main product categories and pricing conventions within the Money Market sector using real-world scenarios.",,"NYIF","Economics & Finance"
"edx00009","Evolution of the Human Sociality: A Quest for the Origin of Our Social Behavior","https://www.edx.org/course/evolution-human-sociality-quest-origin-kyotoux-000x-0","Learn about the origins of human beings and primatology, the scientific study of primates.","https://www.edx.org/sites/default/files/course/image/featured-card/000x-course_image-378x225a.jpg","Kyoto University","Science;Biology & Life Sciences;History"
"edx00010","Leadership for Engineers","https://www.edx.org/course/leadership-engineers-delftx-lfe101x-2","Learn how to effectively lead in a technology-driven world, define your personal leadership journey, and make your career choices.","https://www.edx.org/sites/default/files/course/image/featured-card/lfe101x-new_about_page_image-318x210.jpg","Delft University of Technology (TU Delft)","Business & Management;Engineering"
"edx00011","System Center 2016: Building a Datacenter Fabric","https://www.edx.org/course/system-center-2016-building-datacenter-microsoft-inf262x","Learn how to build the foundation for your datacenter's service fabric.","https://www.edx.org/sites/default/files/course/image/featured-card/inf262x-318x210.jpg","Microsoft","Computer Science"
"edx00012","Analyze your Genome!","https://www.edx.org/course/analyze-genome-uc-san-diegox-binf180-1","Learn how to use existing tools and pipelines to analyze next generation sequencing (NGS) data.","https://www.edx.org/sites/default/files/course/image/featured-card/binf180.1-5e0234382179-318210.jpg","The University of California, San Diego","Biology & Life Sciences;Data Analysis & Statistics"
"edx00013","Introduction to Oil Country Tubular Goods (OCTG)","https://www.edx.org/course/introduction-oil-country-tubular-goods-tenarisuniversity-pipe01x-1","This course introduces the main criteria to be considered when selecting tubular products to assure wells integrity and mitigate risks.","https://www.edx.org/sites/default/files/course/image/featured-card/why_pipe_matters-378x225.jpg","TenarisUniversity ","Engineering"
