"id","type","url","name","courses"
"pgm00000","Bachelor's Degree","http://catalogue.usc.edu/preview_program.php?catoid=7&poid=6251&returnto=2081","Accounting (BS)","BUAD 280;BUAD 281;BUAD 302;BUAD 304;BUAD 306;BUAD 307;BUAD 310;BUAD 311;BUAD 497;ECON 351;ECON 352;MATH 118;MATH 125;ACCT 370;ACCT 371;ACCT 372;ACCT 373;ACCT 374;ACCT 377;ACCT 430;ACCT 470;ACCT 473;ACCT 474;ACCT 416;ACCT 462;ACCT 463;ACCT 471;ACCT 472;ACCT 473;ACCT 474;ACCT 475;ACCT 476;ACCT 477;ACCT 478;ACCT 479;ACCT 493"
"pgm00001","Bachelor's Degree","http://catalogue.usc.edu/preview_program.php?catoid=7&poid=7212&returnto=2081","Acting for the Stage, Screen and New Media (BFA)","THTR 105;THTR 115;THTR 115;THTR 120;THTR 120;THTR 130;THTR 140;THTR 140;THTR 215;THTR 215;THTR 220;THTR 220;THTR 240;THTR 240;THTR 250;THTR 305;THTR 315;THTR 315;THTR 320;THTR 320;THTR 340;THTR 340;THTR 397;THTR 410;THTR 411;THTR 415;THTR 420;THTR 420;THTR 427;THTR 440;THTR 464;THTR 467;THTR 471;THTR 475;THTR 480;THTR 497;THTR 125;THTR 225;THTR 310;THTR 312;THTR 395;THTR 405;THTR 406;THTR 456;THTR 460;THTR 476;THTR 301;THTR 302;THTR 313;THTR 314;THTR 400;THTR 401;THTR 403;THTR 404"
"pgm00002","Bachelor's Degree","http://catalogue.usc.edu/preview_program.php?catoid=7&poid=6643&returnto=2081","Aerospace Engineering (BS)","WRIT 150;WRIT 340;MATH 125;MATH 126;MATH 127;MATH 129;MATH 226;MATH 227;MATH 229;MATH 245;PHYS 151;PHYS 161;PHYS 152;PHYS 162;PHYS 153;PHYS 163;CHEM 105;CHEM 115;MASC 110;AME 105;AME 201;AME 204;AME 231;AME 261;AME 301;AME 302;AME 308;AME 309;AME 310;AME 341;AME 341;AME 436;AME 441;AME 451;AME 481;ASTE 280;ITP 168;AME 404;AME 459;AME 460;AME 443;AME 457;AME 485;CE 358;AME 403;AME 420;AME 408;CE 458;AME 420;AME 453;AME 443;AME 459;ASTE 480;AME 459;ASTE 480;AME 408;AME 430;ASTE 421;AME 312;PHYS 316;AME 331;AME 430"
"pgm00003","Bachelor's Degree","http://catalogue.usc.edu/preview_program.php?catoid=7&poid=7173&returnto=2081","American Popular Culture","AMST 205;AMST 206;AMST 285;AMST 301;COLT 365;COMM 384;ENGL 392;HIST 380;AMST 357;AMST 365;AMST 385;AMST 395;AMST 448;AMST 449;ENGL 343;AHIS 363;AHIS 370;CTCS 392;CTCS 393;CTCS 394;ENGL 371;ENGL 375;ENGL 381;HIST 481;MUJZ 419;MUSC 422;AHIS 100;AHIS 250;AHIS 255;AHIS 270;AHIS 364;AHIS 365;AHIS 370;ANTH 240;ANTH 263;ANTH 380;ANTH 470;COMM 206;COMM 307;COMM 310;COMM 312;COMM 360;COMM 366;COMM 371;COMM 384;COMM 396;COMM 413;COMM 415;COMM 426;COMM 432;COMM 456;COMM 458;COMM 465;CRIT 371;CTCS 192;CTCS 403;CTCS 404;CTCS 406;CTCS 407;CTCS 408;CTCS 409;CTCS 411;CTCS 412;CTCS 414;CTCS 462;CTCS 478;DANC 212;DANC 302;ENGL 341;ENGL 342;JOUR 467;LING 375;SOCI 342;SOCI 365;SOCI 410;THTR 488;THTR 295"
"pgm00004","Bachelor's Degree","http://catalogue.usc.edu/preview_program.php?catoid=7&poid=6292&returnto=2081","American Studies and Ethnicity (African American Studies) (BA)","AMST 200;AMST 230;AMST 350;AMST 498;AMST 250;AMST 252;AMST 332;HIST 355;HIST 453;HIST 455;HIST 456;AHIS 365;AHIS 475;AMST 285;AMST 385;CTCS 407;ENGL 446;ENGL 447;GESM 120;MUSC 320;AMST 101;AMST 206;AMST 274;AMST 330;AMST 337;AMST 342;AMST 344;AMST 348;AMST 365;AMST 389;AMST 395;AMST 466;ANTH 240;ANTH 445;GESM 130;HIST 265;POSC 421;POSC 427;PSYC 462;REL 469;AMST 301;AMST 320;AMST 353;AMST 490;AMST 493;AMST 499;COMM 458;POSC 424;SOCI 432"
"pgm00005","Bachelor's Degree","http://catalogue.usc.edu/preview_program.php?catoid=7&poid=6293&returnto=2081","American Studies and Ethnicity (Asian American Studies) (BA)","AMST 200;AMST 350;AMST 498;AMST 378;AMST 150;AMST 449;REL 336;AMST 220;AMST 365;AMST 389;POSC 328;SOCI 376;AMST 301;AMST 320;AMST 348;AMST 353;AMST 490;AMST 493;AMST 499;COMM 458;POSC 424;SOCI 432"
"pgm00006","Bachelor's Degree","http://catalogue.usc.edu/preview_program.php?catoid=7&poid=6291&returnto=2081","American Studies and Ethnicity (BA)","AMST 200;AMST 350;AMST 498;AMST 250;AMST 285;AMST 373;AMST 378;AMST 379;HIST 100;HIST 354;HIST 355;HIST 380;HIST 457;HIST 458;AHIS 365;AHIS 465;AHIS 475;AMST 205;AMST 285;AMST 305;AMST 385;AMST 448;AMST 449;COMM 458;ENGL 263;ENGL 392;ENGL 442;ENGL 445;ENGL 446;GESM 120;REL 336;REL 483;AMST 101;AMST 111;AMST 140;AMST 150;AMST 201;AMST 202;AMST 204;AMST 206;AMST 220;AMST 274;AMST 285;AMST 301;AMST 320;AMST 330;AMST 332;AMST 337;AMST 340;AMST 344;AMST 345;AMST 348;AMST 353;AMST 357;AMST 365;AMST 389;AMST 395;AMST 446;AMST 452;AMST 466;ANTH 240;GESM 130;JOUR 466;POSC 320;POSC 328;POSC 421;POSC 424;POSC 427;POSC 428;PSYC 462;REL 333;SOCI 100;SOCI 342;SOCI 355;SOCI 356;SOCI 376;SOCI 432;AMST 345;AMST 392;AMST 490;AMST 493;AMST 499"
"pgm00007","Bachelor's Degree","http://catalogue.usc.edu/preview_program.php?catoid=7&poid=6294&returnto=2081","American Studies and Ethnicity (Chicano/Latino Studies) (BA)","AMST 200;AMST 350;AMST 498;AMST 373;HIST 354;AMST 305;AMST 448;SPAN 413;AMST 101;AMST 140;AMST 274;AMST 340;AMST 357;AMST 365;AMST 389;AMST 446;POSC 428;PSYC 462;REL 333;SOCI 100;SOCI 356;AMST 301;AMST 320;AMST 348;AMST 353;AMST 392;AMST 452;AMST 490;AMST 493;AMST 499;COMM 458;POSC 424;SOCI 432"
"pgm00008","Bachelor's Degree","http://catalogue.usc.edu/preview_program.php?catoid=7&poid=6257&returnto=2081","Animation and Digital Arts (BA)","ART 110;CNTV 101;CTAN 101;CTAN 102;CTAN 201;CTAN 202;CTAN 301;CTAN 302;CTAN 305;CTAN 336;CTAN 401;CTAN 401;CTAN 432;CTAN 436;CTAN 451;CTCS 190;CTCS 201;CTAN 496;CNTV 495;CTIN 490;PHED 104;PHED 104;PHED 120;PHED 120;DANC 181;DANC 181;DANC 184;DANC 184;DANC 184;DANC 188;DANC 188;DANC 189;DANC 189;THTR 122;THTR 216;CTCS 192;CTCS 392;CTCS 393;CTCS 400;CTCS 403;CTCS 407;CTCS 409;CTCS 464;CTCS 469;CTCS 482"
"pgm00009","Bachelor's Degree","http://catalogue.usc.edu/preview_program.php?catoid=7&poid=6299&returnto=2081","Anthropology (BA)","ANTH 201;ANTH 263;ANTH 202;HBIO 200;ANTH 410;ANTH 410;ANTH 440;ANTH 302;ANTH 305;ANTH 306;ANTH 309;ANTH 317;ANTH 333;ANTH 335;ANTH 345;ANTH 355;ANTH 360;ANTH 365;ANTH 370;ANTH 371;ANTH 372;ANTH 373;ANTH 375;ANTH 407;ANTH 460;ANTH 470;ANTH 472;ANTH 476;ANTH 481;HBIO 300;HBIO 405;AMST 395;SWMS 336;SWMS 385;ANTH 310;ANTH 311;ANTH 314;ANTH 315;ANTH 316;ANTH 320;ANTH 322;ANTH 323;ANTH 324;ANTH 326;ANTH 327;ANTH 328;ANTH 330;ANTH 335;ANTH 425;ANTH 435;ANTH 201;ANTH 263;HBIO 200;ANTH 410;ANTH 410;ANTH 440;ANTH 101;ANTH 105;ANTH 305;ANTH 360;ANTH 365;ANTH 370;ANTH 373;ANTH 380;HBIO 405;ANTH 201;ANTH 263;HBIO 200;ANTH 440;ANTH 490;ANTH 491;HBIO 406;ANTH 305;ANTH 375;HBIO 306;HBIO 308"
