"id","name","description","prerequisite","preparation","crosslist","corequisite","duplicate","similarity"
"BUAD 280","BUAD 280 Introduction to Financial Accounting","Emphasis on understanding financial statements and the impact of business transactions on information presented to management and interested stakeholders .","","","","","BUAD 250;BUAD 250;BUAD 285;BUAD 286;BUAD 286;BUAD 305","csr00919/0.647;csr01036/0.6075;csr01893/0.486;csr00310/0.323;csr00881/0.323;csr01870/0.323;csr00964/0.301;csr02533/0.301"
"BUAD 281","BUAD 281 Introduction to Managerial Accounting","An emphasis on how accounting information , combined with a variety of techniques and best practices , supports enhanced management decision making . ","BUAD 280","","","","BUAD 285;BUAD 285;BUAD 286;BUAD 305","csr00919/0.3485;csr01036/0.31599999999999995;csr01886/0.313;csr01887/0.3075"
"BUAD 302","BUAD 302T Communication Strategy in Accounting","Theory , practices , and techniques essential to communication in accounting . Interpersonal and group communication ; oral presentations ; writing ; use of communication technologies ; communication strategies for varied audiences .","","","","","BUAD 302",""
"BUAD 304","BUAD 304 Organizational Behavior and Leadership","The role of leadership in business organizations ; concepts and skills for managing oneself and others .","","","","","","csr02516/0.456;csr01815/0.424;csr01800/0.3875"
"BUAD 306","BUAD 306 Business Finance","Financial problems of business enterprise ; function of financial manager ; sources of funds ; instruments , institutions , and practices of finance ; problems of financial management using case studies . ","ACCT 410;BUAD 280;BUAD 285;BUAD 286;BUAD 305;ECON 351","","","ECON 352;BUAD 310","BUAD 215","csr01840/0.4015;csr00964/0.349;csr02533/0.349;csr01038/0.3295"
"BUAD 307","BUAD 307 Marketing Fundamentals","Develops a managerial viewpoint in planning and evaluating marketing decisions of the firm : products , pricing , channels , promotion , information processing , legal implications , and marketing in contemporary society .","","","","","MKT 385","udc00198/0.4835;csr01049/0.42100000000000004;csr01825/0.3665;csr01831/0.33999999999999997;csr01891/0.33699999999999997;csr01035/0.319;csr01834/0.3125"
"BUAD 310","BUAD 310g Applied Business Statistics","Statistical methods for business analysis ; data exploration and description ; sampling distributions ; estimation ; hypothesis testing , simple and multiple regression ; model building . Extensive computer applications .","","","","","ITP 251","csr01601/0.3725;csr00706/0.35500000000000004;csr00837/0.332;csr00693/0.31599999999999995;csr00929/0.31599999999999995;csr01589/0.31599999999999995;csr00692/0.313;csr00928/0.313;csr01588/0.313;udc00167/0.306"
"BUAD 311","BUAD 311T Operations Management for Accounting Majors","Learn the fundamentals of operations management and acquire skills to analyze , measure , control and improve production processes .","","","","","BUAD 311","csr01888/0.379;csr01039/0.368"
"BUAD 497","BUAD 497 Strategic Management","Examination of managerial decision-making , planning , and policy under changing environments ; readings , cases , exercises , simulations . ","ACCT 410;BUAD 281;BUAD 285;BUAD 286;BUAD 305;BUAD 304;BUAD 307;BUAD 215;BUAD 306;BUAD 302;BUAD 302","","","BUAD 311;BUAD 311","","csr00705/0.3955;csr02137/0.3905;csr02595/0.384;csr02209/0.3575;csr02092/0.3475;csr00702/0.3115;csr00703/0.3115"
"ECON 351","ECON 351x Microeconomics for Business","Development and business applications of : theory of the firm ; theory of the consumer ; intertemporal decisions ; decisions under risk ; market failures ; industrial and enterprise structure . Not for major credit for : economics , economics/mathematics , social sciences (economics) majors . ","MATH 118;MATH 125;MATH 126;MATH 226","","","ECON 352","ECON 251","csr00702/0.391"
